Token,Trade/CA,Price,Market Cap,30m Change,24h Change,24h Volume,Liquidity & Trades (24h),Holders,Age,Ticker,Contract Address,Dexscreener URL,Twitter
"IKON
Ikonshop",TRADE,0.000423,$423.33K,↑6.42%,↑8.06%,$228.50K,"LIQ: $163.82K



Buy: 602
Sell: 466",1K,4mo,IKON,AkePSMmyZ3hg85WyDMFUp1svEhzkbvbmwkSR5JPtbBLV,https://dexscreener.com/solana/2kqiF5L5D5R8EyAnvMLQ76QWPQ9o5SrLRCX2oCrrsTza,https://x.com/ikonshopapp
"MECO
Meco Travel",TRADE,0.000416,$416.19K,↑0.00%,↑3.77%,$356.23,"LIQ: $140.48K



Buy: 2
Sell: 2",359,5mo,MECO,7N3FgTETHse9g2Jc6Mcru8h45uubwxgfuropgNWvhgzK,https://dexscreener.com/solana/CZ3CFa4yWrB6ApNGkrbCKRMsNgBEvBGyCZ6pbGJebr7g,https://x.com/meco_capital
"CLUELY
Cluely",TRADE,0.000411,$411.34K,↓0.36%,↓9.80%,$14.78K,"LIQ: $210.27K



Buy: 36
Sell: 40",546,1mo,CLUELY,12R4xTtTbXiGBZ3QSaGN8agiawXQHsC3qpAkJ4VRmBLV,https://dexscreener.com/solana/72M3A1LGcDB7axKwi5ij5GcdXyNGmLwvkxRY1cw948Fd,
"PSWAP
PredictionSwap",TRADE,0.000379,$378.88K,↓2.77%,↑5.49%,$16.61K,"LIQ: $135.32K



Buy: 28
Sell: 25",476,5mo,PSWAP,EUwvqww7U1nsDAKQ748hooGSLCLgKuQMeVHS5VHjjZzZ,https://dexscreener.com/solana/EKUYpzfHvjAmPppCUn7YGxEP15GtBTtMLBEkTauGTKk3,https://x.com/PredictionSwap
"WMDR
WaterMinder",TRADE,0.000374,$374.35K,↓3.11%,↓3.05%,$53.52K,"LIQ: $145.18K



Buy: 99
Sell: 74",1K,3mo,WMDR,Gzb9XduScnJqZ3GKbazbPLWx8Nw8V6uM9VqEZLe8mBLV,https://dexscreener.com/solana/GEsHMzMRrDddh2i7dHHHxDKBiN17XHmtHkWoTJrqnKJ8,http://x.com/waterminder_app
"CITIES
NETWORKCITIES",TRADE,0.000364,$363.82K,↓3.09%,↑5.33%,$23.89K,"LIQ: $133.08K



Buy: 46
Sell: 42",726,5mo,CITIES,B45FhPi6d7UR66TGLpQ3EPnWhGfzdGVkCKNp9neR5Cxt,https://dexscreener.com/solana/2R2kwfr7JVKp8u7fidHU17xBq1q3TawDhYAnS3ZxkyEu,https://x.com/network_cities_
"DESIGN
Design",TRADE,0.000354,$354.45K,↑7.49%,↑31.90%,$26.50K,"LIQ: $146.11K



Buy: 57
Sell: 17",536,2mo,DESIGN,3BheocqQgiYvLnDTuT82WcpyTxhuGtJ3Vjb8f9fbyBLV,https://dexscreener.com/solana/2vszBcxaN6aDgg4GSwuwa4MVihCiwr2sAPGim1mm7UCo,https://x.com/iamnalimov
"RUNNIT
Runnit",TRADE,0.000302,$297.11K,↓1.00%,↓10.26%,$14.44K,"LIQ: $122.77K



Buy: 39
Sell: 30",2K,4mo,RUNNIT,5mjbjHRb327yvcWUc5WPywhCbYi32pqUqxPUCtpipBLV,https://dexscreener.com/solana/B8bDUFt7Ek4V38quKZ7Lh4SX8LHTFoEhwhBWDKMMjjL9,https://x.com/runnitdotfun
"HINT
Hinted Data",TRADE,0.000387,$286.73K,↓4.54%,↑4.51%,$2.13K,"LIQ: $144.27K



Buy: 4
Sell: 2",313,4mo,HINT,0x91dA780BC7f4B7Cf19ABE90411a2a296Ec5FF787,https://dexscreener.com/base/0x137D9f2c705F8b9c54B5c9B08b34a5452F88F35c,https://x.com/Hive_Intel
"BANNED
BANNED",TRADE,0.000273,$273.34K,↓1.78%,↑1.96%,$1.35K,"LIQ: $103.61K



Buy: 2
Sell: 3",890,5mo,BANNED,EecSMXvvhszENGs7SAWMejLgBHBAhCvkMDWY88JR7hog,https://dexscreener.com/solana/FF6LgV5dFNSzqBHsq7qYFZvC4aLp96YP6Hn2AFNkGHc1,https://x.com/bannedtheapp
"SENTRAS
Sentras AI",TRADE,0.000256,$255.52K,↑10.92%,↑26.51%,$44.88K,"LIQ: $114.59K



Buy: 125
Sell: 62",570,4mo,SENTRAS,JqzrEgMPF8KSrGnrWvTKA3cP1wy8WGkwFBPYtQNoBLV,https://dexscreener.com/solana/2FJzQGva8hy58C8E1F1d2vVrsDARQZ61a833k26ESD3G,https://x.com/SentrasAI
"ARTI
Artificer",TRADE,0.00025,$250.42K,↓7.26%,↑9.17%,$584.79K,"LIQ: $148.84K



Buy: 2.31K
Sell: 1.74K",807,1w,ARTI,5RDjKNvXqs9Y5gkrThtCfpicZYYHs9MK7HhdXdUeaBLV,https://dexscreener.com/solana/CuJoaEpvdufx1gA24vNgBL6gF3SdReq1saz7fPa9tfnn,https://x.com/artificerdao
"GOONC
gooncoin",TRADE,0.000216,$213.99K,↓4.28%,↑1.59%,$9.60K,"LIQ: $121.11K



Buy: 36
Sell: 30",6K,5mo,GOONC,ENfpbQUM5xAnNP8ecyEQGFJ6KwbuPjMwv7ZjR29cDuAb,https://dexscreener.com/solana/C1gyx8um8GNk3HNZdvc9Sao6QwTdX23zh44LfTtPJaeJ,https://x.com/i/communities/1923237359187001542
"APES
PRIMEAPE",TRADE,0.000213,$213.10K,↓5.85%,↓8.30%,$7.08K,"LIQ: $100.03K



Buy: 3
Sell: 15",715,5mo,APES,9BZJXtmfPpkHnM57gHEx5Pc9oQhLhJtr4mhCsNtttTts,https://dexscreener.com/solana/881ooAUZamh41avqLzRbJz8EMzPn5vxFyjhcWmzjDRbu,https://x.com/PrimapeApp/
"SIM
Solana Sim",TRADE,0.00021,$210.02K,↓8.53%,↑2.27%,$17.97K,"LIQ: $115.91K



Buy: 108
Sell: 102",575,4mo,SIM,4HFdhH9N1rFtmBsAtv2i8Y4ZXm9wuSn98aBx5eRTtBLV,https://dexscreener.com/solana/G54jKcby6NURhpLZmkQaro5Nwp8NX8ne2athDNX9oeLW,https://x.com/sol_sim2025
"SHEDGE
SolHedge",TRADE,0.000201,$201.14K,↑0.00%,↑8.67%,$16.79K,"LIQ: $133.04K



Buy: 107
Sell: 67",892,4mo,SHEDGE,4bR9nvZYq6gpScGFEx3Qr2WcTtnTSXrJebw18FrTs11i,https://dexscreener.com/solana/5oVCbZGgeRkhGQHkJqy4jGJhHXmjqenYrmGNoLqu9uSv,https://x.com/solhedge_prjct
"SMRT
SmartPractice",TRADE,0.000201,$200.83K,↓1.94%,↑19.32%,$11.65K,"LIQ: $94.44K



Buy: 19
Sell: 14",465,4mo,SMRT,0xdee6B1e94658562756da3f711e4EF974F3b6033F,https://dexscreener.com/avalanche/0x183C3d5EafFB3285D3AB4cE049eCA177015524bc,
"GLMPS
glympse",TRADE,0.0002,$199.82K,↓3.28%,↓17.31%,$26.14K,"LIQ: $94.49K



Buy: 91
Sell: 53",3K,5mo,GLMPS,445ksMigJLms4mw29DQkXs8aWBG4S8Z2kTBCtGhd5nGd,https://dexscreener.com/solana/AuHTkQ1H9ouMsTMoYqU9QCCsSsGnRXkt9PoBu3ykWKtK,https://x.com/glympsedotfun
"SEED
Starseed",TRADE,0.000199,$198.54K,↓4.90%,↑0.39%,$7.58K,"LIQ: $111.91K



Buy: 12
Sell: 6",359,3mo,SEED,0x0458965C6A85b14E022C1920276197c972f0Fd2f,https://dexscreener.com/worldchain/0x5e773B9db6BAE5B4213eb4f8d238FAca1D3343B8,https://x.com/NewWorldSeed?t=HBbMpXpeem2mSF9IVqlihg&s=09
"THERANOS
Theranos",TRADE,0.000197,$195.56K,↑3.35%,↑9.35%,$2.25K,"LIQ: $91.26K



Buy: 7
Sell: 2",1K,5mo,THERANOS,GNxYv32buvqPS7M2GuXHxSxSN8weEkQiRuD575LXRYvu,https://dexscreener.com/solana/3WaUJJXpCwcEtUEJY7jVYFpn6B5QEqPeRMLRCMkNWNq3,https://x.com/onetinydrop2003?s=21
"FLYWHEEL
FLYWHEEL",TRADE,0.000192,$192.30K,↓3.56%,↑11.30%,$9.19K,"LIQ: $97.19K



Buy: 15
Sell: 14",810,5mo,FLYWHEEL,CiiwWPxzvCQRTLPtvoGNqbNM5qFtR4aMKvZfYVoTEmDj,https://dexscreener.com/solana/DNTQkygdSvPHJDZK1mZmrLBSwPTSdjqwxnqwZ3qvmyXa,https://x.com/FlyWheelCoin
"PREDICT
Prediction Market Leaderboard",TRADE,0.000183,$183.07K,↑3.04%,↑10.18%,$25.19K,"LIQ: $101.93K



Buy: 53
Sell: 52",387,2w,PREDICT,Hod59o9CMW38h2wqBRobAMEZZfCvQE4oGuPEJMjJtBLV,https://dexscreener.com/solana/3wcocDCu8zgwYXt7NcYQNRmFVgngqoQ3k1h4R8m3cFLE,https://x.com/predictingtop
"ISENS
Innovosens",TRADE,0.000174,$172.73K,↓3.50%,↓0.54%,$51.05K,"LIQ: $98.58K



Buy: 112
Sell: 63",444,3mo,ISENS,9VFewJu28aZQA4j5j3a2ADBizXfz2ahsiSDWahCzcBLV,https://dexscreener.com/solana/GqYYk7vwrqQxUV1Y9NxFJMY7rorWfgHxrSexNFd2Mj8m,https://x.com/innovosensAB
